name,gender,wikidata,type
"Chaussée de Beaumont",,Q95100,way
"Chaussée de Binche",,Q95121,way
"Route de Binche",,Q95121,way
"Aire du Bois du Gard Nord",,,way
"Aire du Bois du Gard Sud",,,way
"Allée des Aubépines",,,way
"Allée des Bouleaux",,,way
"Allée des Boutons d'Or",,,way
"Allée des Buissons",,,way
"Allée des Champs de Blé",,,way
"Allée des Chardons",,,way
"Allée des Charmilles",,,way
"Allée des Cytises",,,way
"Allée des Frênes",,,way
"Allée des Jasmins",,,way
"Allée des Lauriers",,,way
"Allée des Magnolias",,,way
"Allée des Mélèzes",,,way
"Allée des Noisetiers",,,way
"Allée des Oiseaux",,,way
"Allée des Pins",,,way
"Allée des Plantes Sauvages",,,way
"Allée des Roseaux",,,way
"Allée des Saules",,,way
"Allée des Tuyas",,,way
"Allée du Cimetière",,,way
"Autoroute de Wallonie",,,way
"Avenue Abel Dubois",,,way
"Avenue Albert Ier",,,way
"Avenue Albert-Elisabeth",,,way
"Avenue Benoîte",,,way
"Avenue Edith Cavell",,,way
"Avenue Floréal",,,way
"Avenue Général Leman",,,way
"Avenue Guibal et Devillez",,,way
"Avenue Gustave Maigret de Priches",,,way
"Avenue Jean d'Avesnes",,,way
"Avenue Joseph Wauters",,,way
"Avenue Lemiez",,,way
"Avenue Léo Collard",,,way
"Avenue Louis Goblet",,,way
"Avenue Maréchal Foch",,,way
"Avenue Mélina Mercouri",,,way
"Avenue Nicolas Copernic",,,way
"Avenue Paul de Goussencourt",,,way
"Avenue Prince Albert",,,way
"Avenue Princesse Paola",,,way
"Avenue Reine Astrid",,,way
"Avenue Roi Albert",,,way
"Avenue Saint-Fiacre",,,way
"Avenue Saint-Pierre",,,way
"Avenue Thomas Edison",,,way
"Avenue Victor Maistriau",,,way
"Avenue Wilson",,,way
"Avenue d'Hyon",,,way
"Avenue de Bélian",,,way
"Avenue de Conception",,,way
"Avenue de Cuesmes",,,way
"Avenue de Jemappes",,,way
"Avenue de Padoue",,,way
"Avenue de l'Europe",,,way
"Avenue de l'Hôpital",,,way
"Avenue de l'Université",,,way
"Avenue de la Chapelle",,,way
"Avenue de la Chasse Royale",,,way
"Avenue de la Faïencerie",,,way
"Avenue de la France",,,way
"Avenue de la Francophonie",,,way
"Avenue de la Grande Barre",,,way
"Avenue de la Joyeuse Entrée",,,way
"Avenue de la Joyeuse Entrée - Chaussée de Bruxelles",,,way
"Avenue de la Libération",,,way
"Avenue de la Picardie",,,way
"Avenue de la Poudrière",,,way
"Avenue de la Sapinette",,,way
"Avenue de la Shangri",,,way
"Avenue de la Wallonie",,,way
"Avenue des Acacias",,,way
"Avenue des Bassins",,,way
"Avenue des Cèdres",,,way
"Avenue des Espinois",,,way
"Avenue des Expositions",,,way
"Avenue des Frondaisons",,,way
"Avenue des Lilas",,,way
"Avenue des Mimosas",,,way
"Avenue des Ormes",,,way
"Avenue des Pommiers",,,way
"Avenue des Roses",,,way
"Avenue des Sapins",,,way
"Avenue des Sorbiers",,,way
"Avenue des Sports",,,way
"Avenue des Taillis",,,way
"Avenue des Tulipes",,,way
"Avenue du Bel Horizon",,,way
"Avenue du Bois",,,way
"Avenue du Bon-Air",,,way
"Avenue du Campiau",,,way
"Avenue du Centenaire",,,way
"Avenue du Champ de Bataille",,,way
"Avenue du Champ de Mars",,,way
"Avenue du Charbonnage",,,way
"Avenue du Coq",,,way
"Avenue du Fort Corbeau",,,way
"Avenue du Général de Gaulle",,,way
"Avenue du Gouverneur Émile Cornez",,,way
"Avenue du Grand Large",,,way
"Avenue du Millénaire",,,way
"Avenue du Prince Régent",,,way
"Avenue du Quatrième Middlesex",,,way
"Avenue du Régent",,,way
"Avenue du Roi Chevalier",,,way
"Avenue du Shape",,,way
"Avenue du Tennis",,,way
"Avenue du Tir",,,way
"Avenue du Trou au Sable",,,way
"Avenue du Vingt-Trois Août",,,way
"Axiale Boraine",,,way
"Bas Chemin",,,way
"Boulevard Albert-Élisabeth",,,way
"Boulevard André Delvaux",,,way
"Boulevard Charles Quint",,,way
"Boulevard Dolez",,,way
"Boulevard Fulgence Masson",,,way
"Boulevard Gendebien",,,way
"Boulevard Initialis",,,way
"Boulevard Sainctelette",,,way
"Boulevard Type",,,way
"Boulevard Winston Churchill",,,way
"Boulevard du Président Kennedy",,,way
"Bruyères d'Erbaut",,,way
"Chasse Cambier",,,way
"Chasse Fontaine",,,way
"Chasse Ma Brune",,,way
"Chasse Montignies",,,way
"Chasse du Bon Dieu",,,way
"Chasse du Bon Dieu de Pitié",,,way
"Chaussée de Bruxelles",,,way
"Chaussée de Cuesmes",,,way
"Chaussée de Ghlin",,,way
"Chaussée de Maubeuge",,,way
"Chaussée du Rœulx",,,way
"Chaussée du Roi Baudouin",,,way
"Chemin Bouteilier",,,way
"Chemin Guillaume",,,way
"Chemin Saint-Antoine",,,way
"Chemin Saint-Pierre",,,way
"Chemin Sauvelon",,,way
"Chemin Vert",,,way
"Chemin Vert - Rue Jacquet",,,way
"Chemin Vert du Panisel",,,way
"Chemin à Baraques",,,way
"Chemin d'Adresse",,,way
"Chemin d'Aulchin",,,way
"Chemin d'Erbeleu",,,way
"Chemin d'Havay",,,way
"Chemin d'Havré",,,way
"Chemin de Bavay",,,way
"Chemin de Bethléem",,,way
"Chemin de Binche",,,way
"Chemin de Bray",,,way
"Chemin de Givry",,,way
"Chemin de Mesvin",,,way
"Chemin de Saint-Denis",,,way
"Chemin de Spiennes",,,way
"Chemin de Villers",,,way
"Chemin de l'Ermitage",,,way
"Chemin de l'Inquiétude",,,way
"Chemin de l'Oasis",,,way
"Chemin de la Couture de l'Abbaye",,,way
"Chemin de la Cure d'Air",,,way
"Chemin de la Flache",,,way
"Chemin de la Fontaine à l'Aulnoye",,,way
"Chemin de la Grande Bruyère",,,way
"Chemin de la Justice",,,way
"Chemin de la Masure",,,way
"Chemin de la Poterie",,,way
"Chemin de la Procession",,,way
"Chemin de la Vallière",,,way
"Chemin de la Verrerie",,,way
"Chemin des Baudarts",,,way
"Chemin des Écoliers",,,way
"Chemin des Étangs",,,way
"Chemin des Grands Prés",,,way
"Chemin des Mourdreux",,,way
"Chemin des Moutons",,,way
"Chemin des Préelles",,,way
"Chemin des Princes",,,way
"Chemin des Tuileries",,,way
"Chemin des Wartons",,,way
"Chemin du Bois",,,way
"Chemin du Bois de Mons",,,way
"Chemin du Canon",,,way
"Chemin du Champ de Mars",,,way
"Chemin du Chêne aux Haies",,,way
"Chemin du Courtil",,,way
"Chemin du Golf",,,way
"Chemin du Houblon",,,way
"Chemin du Pont d'Haine",,,way
"Chemin du Prince",,,way
"Chemin du Prince - Grand Chemin",,,way
"Chemin du Versant",,,way
"Cité Balasse",,,way
"Cité Gaillez",,,way
"Cité Houdez",,,way
"Cité Jules Bary",,,way
"Cité Morette",,,way
"Cité Saint-Louis",,,way
"Cité Urban",,,way
"Cité de Thoissey",,,way
"Cité du Congo",,,way
"Cité du Repos",,,way
"Cité du Vieux Champ",,,way
"Clos Antoine Delobel",,,way
"Clos Cécile Douard",,,way
"Clos Charles Jarvis",,,way
"Clos Fernand Debouck",,,way
"Clos Juan Bury",,,way
"Clos Marie Thérèse d'Autriche",,,way
"Clos Maurice Dease",,,way
"Clos Nestor Nicaise",,,way
"Clos Saint-Macaire",,,way
"Clos Sidney Godley",,,way
"Clos Theodore Wright",,,way
"Clos de Viviers",,,way
"Clos de l'Herbette",,,way
"Clos de la Barrière de Spiennes",,,way
"Clos de la Meulière",,,way
"Clos des Forgerons",,,way
"Clos des Puits",,,way
"Clos des Tuileries",,,way
"Coron du Vingt",,,way
"Cour Libert",,,way
"Cour de l'Âne Barré",,,way
"Cour du Curé Letellier",,,way
"Cour du Noir Lévrier",,,way
"Cours Dolez",,,relation
"Courte Voie",,,way
Croix-Place,,,way
"Digue de Cuesmes",,,way
"Digue des Peupliers",,,way
"Domaine de la Brisée",,,relation
"Domaine des Bruyères",,,way
"Drève du Prophète",,,way
Fausse-Voie,,,way
"Grand Chemin",,,way
"Grand Route",,,way
"Grand Rue",,,way
Grand-Place,,,way
"Green Park",,,way
"Impasse Béghin",,,way
"Impasse Desmet",,,way
"Impasse Faucon",,,way
"Impasse Fauconnier",,,way
"Impasse Montenez",,,way
"Impasse Navez",,,way
"Impasse Tirtey",,,way
"Impasse de la Cense Gain",,,way
"Impasse de la Chapelle",,,way
"Impasse de la Consule",,,way
"Impasse de la Verrerie",,,way
"Le sentier",,,way
"Marché aux Herbes",,,way
"Mont du Parc",,,way
"Parc Saint-Gobain",,,way
"Parc de la Sablonnière",,,way
"Parc du Bois de Mons",,,way
"Parvis de Messines",,,way
"Passage Victor Hugo",,,way
"Passage du Centre",,,way
"Pavé Daneau",,,way
"Pavé du Vingt",,,way
"Petit Passage",,,way
"Petite Rue des Prés",,,way
"Piedsente d'Obourg",,,way
"Piedsente de Hargmignies",,,way
"Piedsente du Cabinet Cossée",,,way
"Piedsente du Pont de la Brasserie",,,way
"Place Arthur Bastien",,,way
"Place Charles Simonet",,,way
"Place Édouard Arcq",,,way
"Place Jean-Claude Carpentier",,,way
"Place Léopold",,,way
"Place Louise",,,way
"Place Nervienne",,,way
"Place Paul Heupgen",,,way
"Place Régnier au Long Col",,,way
"Place Roger de Looze",,,way
"Place Saint-Germain",,,way
"Place Spira",,,way
"Place Triangulaire",,,way
"Place Warocqué",,,way
"Place d'Harmignies",,,way
"Place d'Harvengt",,,way
"Place d'Havré",,,way
"Place d'Hyon",,,way
"Place d'Obourg",,,way
"Place de Bootle",,,way
"Place de Briare",,,way
"Place de Ciply",,,way
"Place de Cuesmes",,,relation
"Place de Flandre",,,way
"Place de Ghlin",,,way
"Place de Jéricho",,,way
"Place de Maisières",,,way
"Place de Mesvin",,,way
"Place de Nimy",,,way
"Place de Saint-Denis",,,way
"Place de Saint-Symphorien",,,way
"Place de Spiennes",,,way
"Place de Vannes",,,way
"Place de la Bergeronnette",,,way
"Place de la Chapelle",,,way
"Place de la Citadelle",,,way
"Place de la Gare",,,way
"Place de la Perche",,,way
"Place des Alliés",,,way
"Place des Archers",,,way
"Place des Chasseurs-à-Pied",,,way
"Place des Martyrs",,,way
"Place du Béguinage",,,way
"Place du Busteau",,,way
"Place du Chapitre",,,way
"Place du Chardonneret",,,way
"Place du Manège",,,way
"Place du Marais à Criquelions",,,way
"Place du Marché aux Poissons",,,way
"Place du Parc",,,way
"Place du Souvenir",,,way
"Plat Chemin",,,way
"Pont Clara (RAVeL de la Ligne 98)",,,way
"Quai Sud",,,way
"Quai des Anglais",,,way
"Quai des Otages",,,way
"RAVeL 1",,,way
"RAVeL de la Ligne 98",,,way
"RAVeL de la Ligne 98C",,,way
"Rampe Borgnagache",,,way
"Rampe Sainte-Waudru",,,way
"Rampe du Château",,,way
"Résidence Charles Plisnier",,,way
"Résidence Christina Lodges",,,way
"Résidence François André",,,way
"Résidence Le Festinoy",,,way
"Résidence Moncoureur",,,way
"Résidence Saint-Géry",,,way
"Résidence de Milfort",,,way
"Résidence de la Bascule",,,way
"Résidence des Agasses",,,way
"Résidence des Baudarts",,,way
"Résidence des Mortes Haies",,,way
"Résidence du Rieu",,,way
"Résidences La Prairie",,,way
"Rive Droite du Canal du Centre",,,way
"Rive Gauche du Canal",,,way
"Rive Gauche du canal",,,way
"Rond-Point du Pont-Canal",,,way
"Rond-Point du Trieu",,,way
"Route Industrielle",,,way
"Route Macadamisée",,,way
"Route Provinciale - Rue de Pâturages",,,way
"Route d'Ath",,,way
"Route d'Harmignies",,,way
"Route d'Obourg",,,way
"Route de Wallonie",,,way
"Rue A. Jauniaux",,,way
"Rue Achille Legrand",,,way
"Rue Adolphe Pécher",,,way
"Rue Adonis Descamps",,,way
"Rue Albert 1er",,,way
"Rue Albert Clerfayt",,,way
"Rue Albert Defrise",,,way
"Rue André Masquelier",,,way
"Rue Anto Carte",,,way
"Rue Antoine Bourlard",,,way
"Rue Antoine Clesse",,,way
"Rue Aramis Tournay",,,way
"Rue Arbre Saule",,,way
"Rue Arthur Collier",,,way
"Rue Arthur Duquesnes",,,way
"Rue Arthur Durant",,,way
"Rue Astrid",,,way
"Rue Auguste Capron",,,way
"Rue Auguste Lambert",,,way
"Rue Auguste Nicodème",,,way
"Rue Augustin Brohée",,,way
"Rue Barbet",,,way
"Rue Baron Alfred Bonaert",,,way
"Rue Baron Dubois de Chantraine",,,way
"Rue Basse",,,way
"Rue Basse-cour",,,way
"Rue Baudelet",,,way
"Rue Berlanger",,,way
"Rue Blancart",,,way
"Rue Borette",,,way
"Rue Boulangé de La Hainière",,,way
"Rue Briffaut",,,way
"Rue Brisée",,,way
"Rue Brisée - Rue de Binche",,,way
"Rue Brisselot",,,way
"Rue Brunehaut",,,way
"Rue Bruno Lebrun",,,way
"Rue Bruyères de Jurbise",,,way
"Rue Buisseret",,,way
"Rue Camille Leroy",,,way
"Rue Camille Toussaint",,,way
"Rue Caporal Trésignies",,,way
"Rue Cardinal Mercier",,,way
"Rue Chapelle du Curé",,,way
"Rue Charles Perin",,,way
"Rue Charles Piron",,,way
"Rue Charon",,,way
"Rue Chisaire",,,way
"Rue Circulaire",,,way
"Rue Claude de Bettignies",,,way
"Rue Clémenceau",,,way
"Rue Colinet",,,way
"Rue Comte Cornet",,,way
"Rue Cospeau",,,way
"Rue Courte",,,way
"Rue Croisette",,,way
"Rue Cronque",,,way
"Rue Dampierre",,,way
"Rue David",,,way
"Rue Delaunois",,,way
"Rue Delpierre",,,way
"Rue Demalzine",,,way
"Rue Devaux",,,way
"Rue Devreux",,,way
"Rue Docteur Albert Schweitzer",,,way
"Rue Docteur Wolkas",,,way
"Rue Doyen",,,way
"Rue Dubreucq",,,way
"Rue Dumouriez",,,way
"Rue Durant",,,way
"Rue Édouard Dewèze",,,way
"Rue Éleuthère Mercier",,,way
"Rue Élisa",,,way
"Rue Émile Blairon",,,way
"Rue Émile Jambe",,,way
"Rue Émile Limauge",,,way
"Rue Émile Vandervelde",,,way
"Rue Éva Dupont",,,way
"Rue Fariaux",,,way
"Rue Fassiau",,,way
"Rue Félix Maigret de Priches",,,way
"Rue Félix Nihoul",,,way
"Rue Félix Reghem",,,way
"Rue Fernand Bouteiller",,,way
"Rue Fernand Huart",,,way
"Rue Fernand Maréchal",,,way
"Rue Fernand Piron",,,way
"Rue Fernand Quenon",,,way
"Rue Ferrer",,,way
"Rue Florimond Lemoine",,,way
"Rue Fontaine Tordeur",,,way
"Rue Franche",,,way
"Rue François André",,,way
"Rue François Fétis",,,way
"Rue François Marcq",,,way
"Rue Frébutte",,,way
"Rue Frérot",,,way
"Rue Froissart",,,way
"Rue Gabrielle Petit",,,way
"Rue Galilée",,,way
"Rue Général Leman",,,way
"Rue Genestrois",,,way
"Rue Georges Delporte",,,way
"Rue Georges Mabile",,,way
"Rue Georges Plumart",,,way
"Rue Georges Wattiez",,,way
"Rue Gérard",,,way
"Rue Gontrand Bachy",,,way
"Rue Grand-Route",,,way
"Rue Grande",,,way
"Rue Guy de Brès",,,way
"Rue Hauzeur",,,way
"Rue Hector Charlez",,,way
"Rue Hector Delanois",,,way
"Rue Hector L'Hoir",,,way
"Rue Hector Voituron",,,way
"Rue Henri Culot",,,way
"Rue Henri Deruelles",,,way
"Rue Henri Dunant",,,way
"Rue Henri Glépin",,,way
"Rue Henri Rapez",,,way
"Rue Houzeau",,,way
"Rue Irma Fiévez",,,way
"Rue Jacqmotte",,,way
"Rue Jacques Prévert",,,way
"Rue Jacques de Guise",,,way
"Rue Jean Jaurès",,,way
"Rue Jean Locoge",,,way
"Rue Jean Manne",,,way
"Rue Jean Van Den Eeden",,,way
"Rue Jean Van den Eeden",,,way
"Rue Jean-Baptiste Demol",,,way
"Rue Joseph Delsaut",,,way
"Rue Joseph Hubert",,,way
"Rue Joseph Wauters",,,way
"Rue Jules Antheunis",,,way
"Rue Jules Beresse",,,way
"Rue Jules Brabant",,,way
"Rue Jules Cornet",,,way
"Rue Jules Goffin",,,way
"Rue Jules Hoyois",,,way
"Rue Kincamps",,,way
"Rue Lamir",,,way
"Rue Lecat",,,way
"Rue Lefebvre",,,way
"Rue Léon Dewolf",,,way
"Rue Léon Flament",,,way
"Rue Léon Navez",,,way
"Rue Léon Save",,,way
"Rue Léopold II",,,way
"Rue Léopold III",,,way
"Rue Lloyd Georges",,,way
"Rue Louis Caty",,,way
"Rue Louis Lévêque",,,way
"Rue Louis Piérard",,,way
"Rue Louis Piérart",,,way
"Rue Louise Cambier",,,way
"Rue Lucidel",,,way
"Rue Mac Donald",,,way
"Rue Madame Naveau",,,way
"Rue Madeleine",,,way
"Rue Malapert",,,way
"Rue Marais à Chardons",,,way
"Rue Marcel Beaufays",,,way
"Rue Marcel Dehon",,,way
"Rue Marcel Gillis",,,way
"Rue Marcel Stievenart",,,way
"Rue Marie Joyle",,,way
"Rue Marthe Sigart",,,way
"Rue Martial Nicodème",,,way
"Rue Mathys",,,way
"Rue Maurice Flament",,,way
"Rue Maurice Ghislain",,,way
"Rue Meurisse",,,way
"Rue Molière",,,way
"Rue Mon Plaisir",,,way
"Rue Monclair",,,way
"Rue Moncoureur",,,way
"Rue Mont Anzin",,,way
"Rue Mouzin",,,way
"Rue Nestor Dehon",,,way
"Rue Neuve",,,way
"Rue Nicolas d'Hardenpont",,,way
"Rue Notre-Dame",,,way
"Rue Notre-Dame Débonnaire",,,way
"Rue Notre-Dame de Tongres",,,way
"Rue Notre-Dame du Petit Nimy",,,way
"Rue Nouvelle",,,way
"Rue Nouvelle Chasse",,,way
"Rue Oscar Sturbois",,,way
"Rue Ottelet",,,way
"Rue P. de Meester de Heyndonck",,,way
"Rue Pattey",,,way
